Date,Weighted_Average_Score
2009-11-02,2.8936874599999998
2009-11-03,2.5387409699999997
2009-11-04,1.90706627
2009-11-06,2.54046411
2009-11-09,3.0843566399999998
2009-11-10,4.23079706
2009-11-11,3.9015587700000003
2009-11-12,3.50372372
2009-11-13,1.7546426
2009-11-16,2.9647851800000002
2009-11-17,3.35576523
2009-11-18,4.09884775
2009-11-19,3.6531538699999997
2009-11-20,3.0024187099999997
2009-11-23,4.126016809999999
2009-11-25,4.13332629
2009-11-27,2.3690536700000004
2009-11-30,3.4614709500000003
2009-12-01,2.4426384199999998
2009-12-02,2.28435063
2009-12-03,2.7766384
2009-12-04,2.97255631
2009-12-07,2.3959691800000003
2009-12-08,3.64338966
2009-12-09,3.39291018
2009-12-10,2.37384144
2009-12-11,2.43683807
2009-12-14,3.31292786
2009-12-15,2.42666243
2009-12-16,2.81058235
2009-12-17,3.22462458
2009-12-18,4.0336527
2009-12-21,2.2879885100000004
2009-12-22,1.93847577
2009-12-23,2.02886008
2009-12-24,1.96905939
2009-12-28,3.45362337
2009-12-30,3.89211715
2009-12-31,2.7330964500000006
2010-01-05,2.55194373
2010-01-06,2.2732249600000003
2010-01-07,2.4284342
2010-01-08,1.78915032
2010-01-11,2.8561279400000004
2010-01-12,3.4800229500000004
2010-01-13,3.57038837
2010-01-14,3.10090778
2010-01-15,2.66329148
2010-01-19,2.3530672
2010-01-20,2.3269366899999997
2010-01-21,3.0012653
2010-01-22,2.25640172
2010-01-25,3.99589319
2010-01-26,3.4591114700000003
2010-01-27,3.29486259
2010-01-28,2.9707882399999996
2010-01-29,1.8427192399999999
2010-02-02,4.316654079999999
2010-02-03,3.80935302
2010-02-04,3.7445981900000005
2010-02-05,2.02381102
2010-02-08,2.23286751
2010-02-09,2.23980317
2010-02-10,1.89670369
2010-02-11,2.84199774
2010-02-12,3.29747298
2010-02-16,2.6102477800000004
2010-02-17,2.0915970600000002
2010-02-18,2.05400793
2010-02-19,2.61104426
2010-02-22,2.09079869
2010-02-23,1.7551668
2010-02-24,2.7675290699999997
2010-02-25,2.03709131
2010-02-26,1.4338125999999998
2010-03-01,2.44842932
2010-03-02,2.09845251
2010-03-03,1.7098472800000002
2010-03-04,2.64679165
2010-03-05,2.1600093800000004
2010-03-08,3.8514765100000004
2010-03-09,3.06887908
2010-03-10,2.69926024
2010-03-11,3.6584031
2010-03-12,3.2271681
2010-03-15,2.17561838
2010-03-16,2.9575744200000003
2010-03-17,2.2553319399999996
2010-03-18,1.89773742
2010-03-19,2.37225801
2010-03-22,2.68301286
2010-03-23,3.41714312
2010-03-24,2.57880096
2010-03-25,2.28091573
2010-03-26,2.13140988
2010-03-29,2.3133162100000004
2010-04-01,3.54064622
2010-04-05,2.37394151
2010-04-06,2.64217722
2010-04-07,2.66815303
2010-04-08,2.08570508
2010-04-09,1.9024462
2010-04-12,2.55827125
2010-04-13,3.13332103
2010-04-14,2.07556745
2010-04-15,2.00208013
2010-04-16,1.94649972
2010-04-19,1.7097497499999998
2010-04-20,3.41620187
2010-04-21,3.5129571700000004
2010-04-22,2.42069294
2010-04-23,1.58795273
2010-04-26,2.01025207
2010-04-27,2.05616836
2010-04-28,2.81828169
2010-04-29,2.4764357500000003
2010-04-30,3.25914433
2010-05-04,1.76400269
2010-05-05,2.30888757
2010-05-06,2.4402656300000003
2010-05-07,2.1108042300000003
2010-05-10,3.84367911
2010-05-11,2.3578144900000004
2010-05-12,1.7446333299999999
2010-05-13,2.55554731
2010-05-14,2.07926058
2010-05-17,2.17394204
2010-05-18,2.74312118
2010-05-19,2.2828203699999996
2010-05-20,3.4493011
2010-05-24,1.5810904700000001
2010-05-25,1.9103615400000002
2010-05-26,2.4216948
2010-05-27,3.23678585
2010-05-28,2.572371
2010-06-01,2.8511541300000003
2010-06-02,2.51365175
2010-06-03,2.16101731
2010-06-04,2.21626812
2010-06-07,2.2134731
2010-06-08,2.47474057
2010-06-09,1.86181276
2010-06-10,1.7468960999999998
2010-06-11,2.89563363
2010-06-14,2.06707404
2010-06-15,2.77254867
2010-06-16,1.71204763
2010-06-17,3.40509314
2010-06-18,1.65112165
2010-06-21,1.81427353
2010-06-22,2.51982465
2010-06-23,1.6781977600000002
2010-06-24,1.65337424
2010-06-25,1.6229041099999997
2010-06-28,2.02010844
2010-06-29,1.7565186899999998
2010-06-30,2.4695529499999997
2010-07-02,2.40622464
2010-07-06,2.32984515
2010-07-07,2.11450496
2010-07-08,2.17382668
2010-07-09,2.8074203
2010-07-12,1.73751214
2010-07-13,1.9097563599999998
2010-07-14,2.24377325
